空间粒子辐射LET谱的中低轨道卫星实测结果及误差分析	袁斌;张珅毅;张斌全;常峥;沈国红;孙莹;荆涛;孙越强;刘杰;王建松	《原子能科学技术》	中国科学院国家空间科学中心;天基空间环境探测北京市重点实验室;中国科学院大学;中国科学院近代物理研究所;	2018	传能线密度;ΔE-E望远镜;空间粒子辐射;单粒子效应
新的多道搭接熔覆方法的初步研究	袁斌;龚知本;沈书泊;王世明;张荣兰	《激光杂志》	中国科学院安徽光学精密机械研究所!合肥230031	1999	激光熔覆;多道搭接;裂纹
新型廉价CO_2激光热处理涂料的研究	袁斌;龚知本;沈书泊;王世明;张荣兰	《激光技术》	中国科学院安徽光学精密机械研究所!合肥	1999	CO_激光;热处理;涂料
铝硅钛合金表面激光熔覆G312铁基合金的研究	袁斌;龚知本;沈书泊;秦然	《激光杂志》	中国科学院安徽光学精密机械研究所	1999	铝硅钛合金;激光熔覆
覆盖网对域间路由可靠性的影响研究	袁斌;张国强;李彦君;张国清	《系统仿真学报》	中国科学院计算技术研究所	2008	覆盖网;多路径路由;可靠性;路径分离度;拓扑信息;路由性能;可靠度指标;域间路由;广度优先遍历;网络拓扑
土壤乙烯产生和氧化的研究进展	徐星凯;袁斌;王跃思;杨剑虹	《生态学报》	中国科学院大气物理研究所大气边界层物理和大气化学国家重点实验室	2005	土壤;乙烯;产生和氧化;根际;土地利用方式;大气环境
利用离子液体制备纤维素基气凝胶	余坚;米勤勇;袁斌;吕玉霞;张军	《高分子通报》	中国科学院化学研究所北京分子科学国家实验室中科院工程塑料重点实验室;中国科学院大学化学化工学院;	2016	纤维素;离子液体;气凝胶;溶解-再生
铝硅钛合金表面激光合金化研究	袁斌;龚知本;沈书泊;赵青春	《应用激光》	中国科学院安徽光学精密机械研究所!合肥	1999	铝硅钛合金;激光合金化;块基合金粉
光束半径测量方法对拉盖尔-高斯光束束宽及M~2因子的影响	袁斌;龚知本;沈书泊;郭茂田	《应用激光》	中国科学院安徽光学精密机械研究所!合肥	1999	束宽;光束质量因子;拉盖尔-高斯光束
应用光声效应检测粉煤灰中的碳含量	赵元黎;袁斌;胡国驹	《压电与声光》	中国科学院安徽光学精密机械研究所	2003	光声效应;粉煤灰;碳含量
应用光声效应检测粉煤灰中的碳含量	赵元黎;宁继英;袁斌;胡国驹	《光学技术》	中国科学院安徽光学精密机械研究所	2003	光声效应;粉煤灰;碳含量
应用光声效应检测粉煤灰中碳含量仪器的研究	赵元黎;袁斌;宁继英;胡国驹	《仪表技术与传感器》	中国科学院安徽光学精密机械研究所	2002	光声效应;粉煤灰中碳含量;检测
基于受力状态的雾江滑坡体类型判定	袁斌;黄耀英;陈勋辉;李春光;万智勇;左全裕	《防灾减灾工程学报》	三峡大学水利与环境学院;黄河上游水电开发有限责任公司;中国科学院武汉岩土力学研究所岩土力学与工程国家重点实验室;湖南涔天河工程建设投资有限责任公司;	2017	滑坡;稳定性分析;安全系数;变形特征
