纳米出版及其应用研究进展	牛丽慧;欧石燕	《图书情报工作》	南京大学信息管理学院	2018	纳米出版;语义出版;知识表示
微出版及其应用探析	牛丽慧	《现代情报》	南京大学信息管理学院	2018	微出版;语义出版;知识表示
信息贫困形成的经济学机理及其援助制度的设计	牛丽慧	《山西大学》	 	2016	信息贫困;权利方法;信息资源配置;信息援助制度
基于商品评论的网购顾客满意度指标体系的构建与分析	牛丽慧;由丽萍	《网友世界》	山西大学经济与管理学院;	2013	网络购物;顾客满意度;评价
针对性护理干预在ICU气管插管非计划性拔管中的应用	牛丽慧	《中国现代药物应用》	山西省长治市首钢长钢职工总医院ICU;	2014	气管插管;非计划性拔管;针对性护理
图书馆服务研究的演进路径及前沿分析	牛丽慧	《晋中学院学报》	山西大学经济与管理学院;	2014	图书馆服务;CiteSpace;研究前沿;可视化
高扬党的旗帜  坚持党校姓党	牛丽慧	《求知》	中共天津市河东区委党校;	2016	党校建设;党校事业;干部教育;党校教师;纪律意识;从严治党;党校教育;执政使命;教风;成长规律;
女性保健知识	牛丽慧	《现代养生》	 	2011	乳腺癌;乳房保健;女性形体;长时间;可能性;保健知识;妇女;胸部;束缚力;专家
大数据研究的现状、热点演进与前沿分析	刘飞;牛丽慧;金昌博	《数字图书馆论坛》	新疆医科大学图书馆;山西大学经济与管理学院;广州医科大学;	2015	大数据;可视化;Map-Reduce;个人隐私
基于阿马蒂亚·森权利方法的信息贫困成因分析	相丽玲;牛丽慧	《情报科学》	山西大学经济与管理学院;	2016	信息贫困;权利方法;权利失败
知识管理思想的演化与评价	相丽玲;牛丽慧	《情报理论与实践》	山西大学经济与管理学院;	2015	知识管理;知识管理思想;演化过程;评价
信息贫困形成的经济学机理	相丽玲;牛丽慧	《图书馆理论与实践》	山西大学经济与管理学院;	2015	信息贫困;经济学;信息资源配置;信息权利
论公民信息权	相丽玲;牛丽慧	《现代情报》	山西大学经济与管理学院;	2014	公民;信息权;信息行为;救济
国内电石炉尾气净化与综合利用研究进展	刘安花;刘泰安;牛丽慧;钟文艳;孙学敏;杨小波;张志君;侯军	《广州化工》	青海盐湖工业股份有限公司;	2014	电石炉尾气;除尘净化技术;综合利用;研究进展
超宽带天线及其阵列的若干技术研究	王军会	《西安电子科技大学》	 	2015	平面单极子天线;带阻特性;差分天线;超宽带相控阵;紧耦合技术
软件定义物联网路由研究	王军锋	《华中科技大学》	 	2016	物联网;软件定义网络;路由;半实物仿真;协作通信;智能代理;多径
基于SSH框架的石河子市电子政务网站的设计与实现	王军	《吉林大学》	 	2016	电子政务网站;JSP技术;B/S结构;SSH框架;MySQL
鸭源禽流感病毒的分离鉴定及其聚合酶活性研究	王军政	《吉林农业大学》	 	2015	鸭;禽流感;分离鉴定;聚合酶
